Timestamp,Latitude,Longitude,Tree_no,Tree_sp,Usnea,Evernia,Hypogymnia,Melanelixia,Flavoparmelia,Parmelia, Leafy_Xanthoria,Cushion_Xanthoria,Physcia
07/02/2020 13:04,52.4585,-1.9256,2,Oak,0,0,1,0,0,1,3,1,1
28/01/2019 13:16,52.458525,-1.9256,1,Ash,0,0,0,0,0,3,0,0,3
28/01/2019 13:22,52.458525,-1.9256,1,Ash tree,1,0,0,2,0,2,1,0,0
28/01/2019 13:22,52.458525,-1.9256,1,Ash,0,0,0,2,0,2,1,0,0
07/02/2020 13:13,52.463245,-1.9253521,1,NA,1,2,3,1,2,1,2,0,0
07/02/2020 13:13,52.463245,-1.9253521,1,NA,1,2,3,2,1,3,2,3,3
28/01/2019 13:09,52.460209,-1.925304,2,Alder,2,0,3,0,1,0,1,0,0
07/02/2020 12:42,52.460209,-1.925304,2,Alder,2,0,3,0,1,0,1,0,0
28/01/2019 13:09,52.4583969,-1.9252414,1,Oak,0,0,1,0,0,0,0,3,0
07/02/2020 13:06,52.4621117,-1.9252321,2,white beam,0,0,0,0,0,0,0,0,0
07/02/2020 13:08,52.4585895,-1.9252276,1,Ash,0,0,1,1,0,0,3,0,0
07/02/2020 13:01,52.46,-1.9252,1,Oak,0,0,3,0,0,1,0,0,1
07/02/2020 13:09,52.46,-1.9252,1,Oak,0,0,0,0,0,1,0,0,1
28/01/2019 13:23,52.4600652,-1.925167,2,oak,0,0,2,0,0,0,0,0,0
28/01/2019 13:16,52.4600651,-1.9251669,2,Oak,0,0,1,0,0,0,0,0,0
28/01/2019 13:23,52.4600651,-1.9251669,2,Oak,0,0,1,0,0,0,0,0,0
28/01/2019 13:22,52.460199,-1.925133,2,Oak,0,0,1,0,0,0,0,0,0
28/01/2019 13:12,52.4602279,-1.9250318,2,NA,0,0,0,0,0,2,1,0,0
28/01/2019 13:14,52.4602279,-1.9250318,2,NA,0,0,0,0,2,0,0,0,0
28/01/2019 13:14,52.4602279,-1.9250318,2,Oak,0,0,0,0,2,0,0,0,0
28/01/2019 13:14,52.4602279,-1.9250318,2,NA,0,0,0,0,2,0,0,0,0
28/01/2019 13:18,52.4602279,-1.9250318,2,NA,0,0,0,0,2,0,0,0,0
03/02/2020 10:10,52.4162,-1.925,1,Oak,1,1,3,0,3,0,0,0,0
07/02/2020 12:57,52.4162,-1.925,1,Oak,1,1,3,0,3,0,0,0,0
28/01/2019 13:10,52.441,-1.925,1,Chesnut,0,1,0,0,1,0,1,0,0
07/02/2020 13:00,52.4613,-1.925,1,Oak,1,0,3,0,0,1,2,1,1
07/02/2020 13:03,52.4613,-1.925,1,Sycamore,1,0,3,0,0,1,2,1,1
28/01/2019 13:11,52.460086,-1.924953,2,Sycamore,3,0,2,0,0,0,3,0,0
28/01/2019 13:10,54.460086,-1.924953,1,Sycamore ,3,0,2,0,0,0,3,0,0
28/01/2019 13:18,52.460018,-1.924903,2,Oak,0,0,1,0,0,0,0,0,0
28/01/2019 13:13,52.4601758,-1.924891,2,willow,0,3,0,0,0,0,1,0,0
28/01/2019 13:16,52.458252,-1.924867,1,Ash ,0,0,0,0,0,3,0,0,3
28/01/2019 13:17,52.461235,-1.924867,2,Ash,0,0,0,0,1,0,0,0,0
28/01/2019 13:17,52.461235,-1.924867,2,Ash,0,0,0,0,1,0,0,0,0
07/02/2020 13:09,52.4580833,-1.9248622,2,Ash,0,0,2,2,1,1,3,2,0
07/02/2020 13:09,52.4580833,-1.9248622,2,Ash,0,0,0,2,0,0,0,2,0
28/01/2019 13:11,52.4611456,-1.9244913,2,Oak,0,3,2,0,0,3,0,0,0
28/01/2019 13:09,52.459674,-1.92431,1,Alder,1,0,3,1,0,0,0,0,0
28/01/2019 13:17,52.4586,-1.9243,1,Birch,0,0,0,0,1,0,0,0,0
28/01/2019 13:10,52.4588,-1.9243,1,birch,0,0,0,0,1,0,0,0,0
28/01/2019 13:11,52.4579,-1.9242,2,Alder,0,0,0,0,0,0,0,0,1
28/01/2019 13:18,52.4579,-1.9242,2,Alder,0,0,0,0,0,0,0,0,1
28/01/2019 13:12,52.4594766,-1.9241564,1,NA,0,0,0,0,1,1,1,0,0
28/01/2019 13:12,52.461644,-1.924145,2,NA,0,1,2,0,0,0,0,0,0
28/01/2019 13:14,52.4615948,-1.9241182,2,Beech,0,1,1,0,1,0,1,0,1
28/01/2019 13:18,52.4615948,-1.9241182,2,Beech,0,1,1,0,0,0,1,0,1
28/01/2019 13:20,52.4615948,-1.9241182,2,Beech,0,0,0,0,1,0,0,0,1
